system	id	lang	usecase	WER_percent	CER_percent	reference	ASR_hypothesis
ours	sarvam_bn_0000	bn	AI Assistants	33.33333333333333	7.4074074074074066	Done. আমি Maggi Noodles আর 1kg Basmati Rice তোমার BigBasket cart-এ add করে দিয়েছি।	ডান। আমি Maggi noodles আর 1 kg Basmati rice তোমার Big Basket cart-এ add করে দিয়েছি।
sarvam	sarvam_bn_0000	bn	AI Assistants	73.33333333333333	62.96296296296296	Done. আমি Maggi Noodles আর 1kg Basmati Rice তোমার BigBasket cart-এ add করে দিয়েছি।	ডান আমি ম্যাগি নুডলস আর 1 kg বাসমতি রাইস তোমার বিগ বাস্কেট কার্টে অ্যাড করে দিয়েছি।
ours	sarvam_bn_0001	bn	AI Assistants	54.54545454545454	69.76744186046511	ঠিক আছে, Living Room-এর এসি 18°C-তে সেট করছি।	ঠিক আছে, লিভিং রুম এর এসি ১৮ ডিগ্রি সেলসিয়াস তে শেড করছি।
sarvam	sarvam_bn_0001	bn	AI Assistants	72.72727272727273	74.4186046511628	ঠিক আছে, Living Room-এর এসি 18°C-তে সেট করছি।	ঠিক আছে, লিভিং রুমের এসি ১৮ ডিগ্রি সেলসিয়াস-এ শেড করছি।
ours	sarvam_en_1150	en	AI Assistants	5.88235294117647	10.344827586206897	Done. I've added Tata Salt and 750 ml Fortune Sunflower Refined Oil to your Blinkit cart.	done. I've added Tata salt and 750 milliliters Fortune sunflower refined oil to your Blinkit cart.
sarvam	sarvam_en_1150	en	AI Assistants	5.88235294117647	2.2988505747126435	Done. I've added Tata Salt and 750 ml Fortune Sunflower Refined Oil to your Blinkit cart.	Done. I have added Tata Salt and 750 ml Fortune Sunflower Refined Oil to your Blinkit cart.
ours	sarvam_en_1151	en	AI Assistants	22.22222222222222	33.33333333333333	Okay, setting the Master Bedroom AC to 24°C.	Okay, setting the master bedroom AC to 24 degrees Celsius.
sarvam	sarvam_en_1151	en	AI Assistants	22.22222222222222	30.952380952380953	Okay, setting the Master Bedroom AC to 24°C.	Okay. Setting the master bedroom AC to 24 degree Celsius.
ours	sarvam_gu_0010	gu	AI Assistants	10.526315789473683	9.574468085106384	Done. મેં Amul Butter અને 1 kg India Gate Basmati Rice તમારા BigBasket cart માં add કરી દીધા છે.	done તમે Amul butter અને 1 kg India Gate બાઝમારી rice તમારા BigBasket cart-માં add કરી દીધા છે.
sarvam	sarvam_gu_0010	gu	AI Assistants	68.42105263157895	69.14893617021278	Done. મેં Amul Butter અને 1 kg India Gate Basmati Rice તમારા BigBasket cart માં add કરી દીધા છે.	ડન, મેં અમૂલ બટર અને એક કિલોગ્રામ ઇન્ડિયા ગેટ બાસમતી ચોખા તમારા બિગ બાસ્કેટ કાર્ટમાં એડ કરી દીધા છે.
ours	sarvam_gu_0011	gu	AI Assistants	38.46153846153847	50.0	ઠીક છે, Living Room નું એસી 18°C પર સેટ કરી રહ્યો છું.	ઠીક છે, લિવિંગ રૂમનું એસી 18 ડિગ્રી સેલ્સિયસ પર સેટ કરી રહ્યો છું.
sarvam	sarvam_gu_0011	gu	AI Assistants	46.15384615384615	57.692307692307686	ઠીક છે, Living Room નું એસી 18°C પર સેટ કરી રહ્યો છું.	ઠીક છે, લિવિંગ રૂમનું એસી અઢાર ડિગ્રી સેલ્સિયસ પર સેટ કરી રહ્યો છું.
ours	sarvam_hi_0020	hi	AI Assistants	58.82352941176471	54.21686746987952	Done. मैंने Amul Butter और 5kg Aashirvaad Atta को आपके Zepto cart में add कर दिया है।	मैंने अमूल बर् और 5 kg आशीर्वाद एटा को आपके ज़ेप्टो कार्ट में ऐड कर दिया है।
sarvam	sarvam_hi_0020	hi	AI Assistants	52.94117647058824	54.21686746987952	Done. मैंने Amul Butter और 5kg Aashirvaad Atta को आपके Zepto cart में add कर दिया है।	डन, मैंने अमूल बटर और 5 किलोग्राम आशीर्वाद आटा को आपके Zepto कार्ट में ऐड कर दिया है।
ours	sarvam_hi_0021	hi	AI Assistants	30.76923076923077	27.659574468085108	ठीक है, Guest Room का एसी 18°C पर सेट कर रहा हूँ।	ठीक है। गैस रूम का AC 18°C पर सेट कर रहा हूं।
sarvam	sarvam_hi_0021	hi	AI Assistants	15.384615384615385	12.76595744680851	ठीक है, Guest Room का एसी 18°C पर सेट कर रहा हूँ।	ठीक है guest room का AC 18°C पर set कर रहा हूँ।
ours	sarvam_kn_0030	kn	AI Assistants	16.666666666666664	4.504504504504505	Done. ನಾನು Colgate Toothpaste ಮತ್ತು 500 g Bru Instant Coffee ಅನ್ನು ನಿಮ್ಮ Swiggy Instamart cart ಗೆ add ಮಾಡಿದ್ದೀನಿ.	Done. ನಾನು Koget toothpaste ಮತ್ತು 500g Bru instant coffee ಅನ್ನು ನಿಮ್ಮ Swiggy Instamart cart-ಗೆ add ಮಾಡಿದ್ದೀನಿ.
sarvam	sarvam_kn_0030	kn	AI Assistants	16.666666666666664	7.207207207207207	Done. ನಾನು Colgate Toothpaste ಮತ್ತು 500 g Bru Instant Coffee ಅನ್ನು ನಿಮ್ಮ Swiggy Instamart cart ಗೆ add ಮಾಡಿದ್ದೀನಿ.	ಡನ್, ನಾನು Colgate toothpaste ಮತ್ತು 500 ghee Bru instant coffee-ಯನ್ನು ನಿಮ್ಮ Swiggy Instamart cart-ಗೆ add ಮಾಡಿದ್ದೀನಿ.
ours	sarvam_kn_0031	kn	AI Assistants	37.5	8.333333333333332	ಸರಿ, Guest Room ಎಸಿಯನ್ನು 21°C ಗೆ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ.	ಸರಿ, guest room ACಯನ್ನು 21°Cಗೆ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ.
sarvam	sarvam_kn_0031	kn	AI Assistants	62.5	75.0	ಸರಿ, Guest Room ಎಸಿಯನ್ನು 21°C ಗೆ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ.	ಸರಿ, ಗೆಸ್ಟ್ ರೂಮ್ ಎಸಿಯನ್ನು ಇಪ್ಪತ್ತೊಂದು ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್‌ಗೆ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ.
ours	sarvam_ml_0040	ml	AI Assistants	66.66666666666666	45.744680851063826	Done. ഞാൻ 500g Amul Butter, 1kg Aashirvaad Atta എന്നിവ നിങ്ങളുടെ Zepto cart-ൽ add ചെയ്തിട്ടുണ്ട്.	500gm ബട്ടർ 1kg ആഷിവാ ഡാറ്റ എന്നിവ നിങ്ങളുടെ Zepto കാർഡ് ആഡ് ചെയ്തിട്ടുണ്ട്.
sarvam	sarvam_ml_0040	ml	AI Assistants	86.66666666666667	65.95744680851064	Done. ഞാൻ 500g Amul Butter, 1kg Aashirvaad Atta എന്നിവ നിങ്ങളുടെ Zepto cart-ൽ add ചെയ്തിട്ടുണ്ട്.	ഡൺ, ഞാൻ 500 ഗ്രാം അമൂൽ ബട്ടർ 1 കിലോഗ്രാം ആശീർവാദ ടായങ്ങ നിങ്ങളുടെ സെപ്റ്റോ കാർട്ടിൽ ആഡ് ചെയ്തിട്ടുണ്ട്.
